"YY","MM","DD","hh","WD","WSPD","GST","WVHT","DPD","APD","MWD","BAR","ATMP","WTMP","DEWP","VIS"
86,1,12,13,190,10,12,99,99,99,999,1011.4,2,3.5,999,99
86,1,12,14,200,11,13,99,99,99,999,1011.3,2.8,3.5,999,99
86,1,12,15,200,12,15,99,99,99,999,1010,4.2,3.6,999,99
86,1,12,16,190,13,17,99,99,99,999,1007.4,5.3,3.7,999,99
86,1,12,17,190,12,15,99,99,99,999,1005.1,6.1,3.9,999,99
86,1,12,18,200,15,19,99,99,99,999,1003.4,7.3,4.2,999,99
86,1,12,19,200,16,20,99,99,99,999,1002.2,7.8,4.3,999,99
86,1,12,20,200,13,15,99,99,99,999,1002.2,7.9,4.2,999,99
86,1,12,21,200,12,16,99,99,99,999,1002,7.9,4,999,99
86,1,12,22,200,11,13,99,99,99,999,1002.7,7.4,3.7,999,99
86,1,12,23,210,10,12,99,99,99,999,1003.1,6.7,3.5,999,99
86,1,13,0,220,8,9,99,99,99,999,1004,5.9,3.5,999,99
86,1,13,1,220,6,7,99,99,99,999,1004.5,5.5,3.5,999,99
86,1,13,2,210,5,5,99,99,99,999,1004.5,5,3.5,999,99
86,1,13,3,210,3,4,99,99,99,999,1004.8,4.5,3.3,999,99
86,1,13,4,200,3,4,99,99,99,999,1004.5,4.2,3.5,999,99
86,1,13,5,200,3,4,99,99,99,999,1004.2,3.7,3.5,999,99
86,1,13,6,220,4,4,99,99,99,999,1003.3,3.2,3.5,999,99
86,1,13,7,210,2,3,99,99,99,999,1002.9,3.1,3.5,999,99
86,1,13,8,190,4,5,99,99,99,999,1002.9,2.7,3.2,999,99
86,1,13,9,210,5,6,99,99,99,999,1002.9,2,3.1,999,99
86,1,13,10,220,4,4,99,99,99,999,1003,1.9,3.1,999,99
86,1,13,11,240,3,4,99,99,99,999,1002.9,1.9,3.1,999,99
86,1,13,12,250,3,3,99,99,99,999,1002.9,2,3.1,999,99
86,1,13,13,260,2,3,99,99,99,999,1003.6,2,3.1,999,99
86,1,13,14,260,3,3,99,99,99,999,1004.1,2.6,3.1,999,99
86,1,13,15,250,2,2,99,99,99,999,1003.5,2.9,3.1,999,99
86,1,13,16,240,2,2,99,99,99,999,1002.4,3.1,3.2,999,99
86,1,13,17,280,3,4,99,99,99,999,1001.2,4.3,3.5,999,99
