Higher classification,Order,Family,Common Name,Genus,Species,Body Temperature (C),Body Mass (g),Basal Metabolic Rate (W),Air temperature (C)
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,subterraneus,*,17.8,0.276,6.372983106
Euarchontoglires,Rodentia,Cricetidae,*,Myodes,californicus,37.5,18.3,0.341,*
Marsupialia,Diprontodontia,Burramyidae,Pygmy Possums,Cercartetus,concinnus,34.4,18.6,0.125,14.14799624
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Sminthopsis,murina,35,19,0.12,15.90719694
Euarchontoglires,Rodentia,Cricetidae,*,Onychomys,torridus,*,19.1,0.165,14.2188657
Euarchontoglires,Rodentia,Heteromyidae,*,Perognathus,parvus,*,19.2,0.16,7.138163296
Laurasiatheria,Chiroptera,Mormoopidae,Leaf-chinned Bats,Pteronotus,parnellii,36.4,19.2,0.171,22.46285825
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Sminthopsis,macroura,36.4,19.35,0.126,21.72326242
Euarchontoglires,Rodentia,Cricetidae,*,Ochrotomys,nuttalli,36.4,19.5,0.151,15.83109865
Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus,fallax,32.6,19.6,0.15,11.79914001
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Artibeus,concolor,35.3,19.7,0.222,24.51141693
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Chiroderma,doriae,*,19.9,0.173,19.21381582
Afrotheria,Afrosoricida,Chrysochloridae,Golden Moles,Eremitalpa,granti,33.6,20,0.056,*
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,leucopus,36.7,20,0.185,12.57143823
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,arvalis,37,20,0.346,6.387391497
Euarchontoglires,Rodentia,Nesomyidae,*,Petromyscus,collinus,*,20.41,0.115,16.47359977
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Sturnira,tildae,*,20.5,0.223,23.38521135
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus,witherbyi,37,20.5,0.279,*
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Blarina,brevicauda,38.3,20.5,0.336,6.728295783
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus,agrarius,*,21.2,0.373,4.706281638
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,eremicus,36.6,21.5,0.185,15.84198291
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,gossypinus,37.5,21.5,0.206,16.7712163
Euarchontoglires,Rodentia,Cricetidae,*,Phenacomys,intermedius,37.9,21.5,0.375,4.088726243
Euarchontoglires,Rodentia,Nesomyidae,*,Malacothrix,typica,37,21.7,0.115,18.28360577
Euarchontoglires,Rodentia,Cricetidae,*,Arborimus,longicaudus,37.3,21.8,0.329,7.006140426
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Mus,spretus,*,21.8,0.345,13.37395024
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Platyrrhinus,lineatus,36.4,21.9,0.25,20.53425516
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Sturnira,lilium,36.4,21.9,0.297,22.20299629
Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Antrozous,pallidus,*,22,0.104,12.75978881
Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus,californicus,38,22,0.119,10.66317393
Euarchontoglires,Rodentia,Dipodidae,Gerboas & Jumping Mice (includes Zapodidae),Napaeozapus,insignis,37,22,0.221,3.697961445
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Leptonycteris,curasoae,35.7,22,0.245,18.11572055
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,maniculatus,37.2,23.19,0.257,5.957827271
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,boylii,36.4,23.2,0.303,11.27459715
Euarchontoglires,Rodentia,Gliridae,Dormice,Muscardinus,avellanarius,35.8,23.5,0.351,7.288206046
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Paranyctimene,raptor,33.8,23.6,0.137,18.44491011
Euarchontoglires,Rodentia,Dipodidae,Gerboas & Jumping Mice (includes Zapodidae),Zapus,hudsonius,37.3,23.8,0.199,2.401949122
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus,flavicollis,36.7,23.9,0.242,5.732837067
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus,sylvaticus,36.7,23.9,0.242,8.055505661
Euarchontoglires,Rodentia,Cricetidae,*,Akodon,azarae,37.7,24,0.228,17.61588556
Euarchontoglires,Rodentia,Cricetidae,*,Abrothrix,lanosus,*,24,0.254,*
Euarchontoglires,Rodentia,Cricetidae,*,Myodes,glareolus,*,24.6,0.32,*
Laurasiatheria,Chiroptera,Vespertilionidae,Vesper Bats,Myotis,vivesi,*,25,0.199,13.26253289
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,pinetorum,38.3,25.5,0.326,13.17416419
Euarchontoglires,Rodentia,Cricetidae,*,Phodopus,sungorus,36.1,25.7,0.228,1.161453695
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Antechinomys,laniger,35.8,25.8,0.141,*
Euarchontoglires,Rodentia,Cricetidae,*,Myopus,schisticolor,39,26.4,0.522,-7.118626386
Laurasiatheria,Chiroptera,Noctilionidae,Fishing Bats,Noctilio,albiventris,33.8,27,0.176,23.15907167
Euarchontoglires,Rodentia,Cricetidae,*,Abrothrix,olivaceus,37.2,27,0.276,*
Euarchontoglires,Rodentia,Cricetidae,*,Myodes,rufocanus,*,27,0.3201,*
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Acomys,spinosissimus,*,27.02,0.246,21.14743561
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Tonatia,bidens,37,27.4,0.307,22.73083204
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus,dasyurus,38.6,27.6,0.163,20.84951775
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Diphylla,ecaudata,32.4,27.8,0.215,22.61166651
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,agrestis,37.6,28,0.355,0.429755076
Euarchontoglires,Rodentia,Cricetidae,*,Myodes,rutilus,*,28,0.43,*
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Antechinus,stuartii,35.1,28.2,0.189,13.03579348
Euarchontoglires,Rodentia,Cricetidae,*,Oligoryzomys,longicaudatus,37.3,28.2,0.285,6.12884259
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,keeni,36.2,28.3,0.261,*
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus,nanus,38.8,28.4,0.124,21.80880008
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,longicaudis,38,28.6,0.377,2.126826931
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,mexicanus,37.9,28.8,0.262,16.9497443
Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus,baileyi,32.5,29.1,0.192,16.73363992
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Desmodus,rotundus,37.3,29.4,0.194,20.66017395
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus,gerbillus,37.2,29.7,0.237,22.72550969
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillurus,tytonis,36.9,29.9,0.177,9.930275284
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Suncus,murinus,36,30.2,0.332,21.25271449
Euarchontoglires,Rodentia,Cricetidae,*,Lemmiscus,curtatus,37.1,30.3,0.281,5.552889057
Euarchontoglires,Rodentia,Cricetidae,*,Cricetulus,migratorius,38.1,30.7,0.245,6.272272885
Euarchontoglires,Rodentia,Cricetidae,*,Podomys,floridanus,*,30.8,0.288,17.85670658
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Nyctimene,albiventer,35.9,30.9,0.152,15.45531893
Euarchontoglires,Rodentia,Cricetidae,*,Akodon,albiventer,*,31,0.259,3.138750355
Euarchontoglires,Rodentia,Bathyergidae,African Mole-rats,Heterocephalus,glaber,32.1,32,0.114,22.79267214
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Acomys,subspinosus,*,32.25,0.465,13.09067818
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Notomys,alexis,38,32.3,0.252,21.09235864
Euarchontoglires,Rodentia,Cricetidae,*,Chionomys,nivalis,*,32.8,0.452,6.98624799
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Crocidura,flavescens,*,33.2,0.248,13.49228061
Euarchontoglires,Rodentia,Cricetidae,*,Peromyscus,truei,36.7,33.3,0.349,11.60665231
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Phyllostomus,discolor,34.6,33.5,0.267,23.32033816
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,oeconomus,38.4,33.7,0.563,-5.357974351
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillurus,paeba,38.7,33.9,0.194,18.43954724
Marsupialia,Notoryctemorphia,Notoryctidae,Marsupial Moles,Notoryctes,caurinus,30.8,34,0.119,24.41800272
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Notomys,cervinus,38.5,34.2,0.233,20.08002197
Euarchontoglires,Rodentia,Cricetidae,*,Abrothrix,andinus,37.7,34.6,0.361,*
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,montanus,35.3,35.1,0.465,5.95980513
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillus,andersoni,36.3,35.3,0.217,15.9606996
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Phyllostomus,elongatus,*,35.6,0.216,23.53814825
Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys,merriami,37,36.5,0.237,16.21515899
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Diaemus,youngi,31.1,36.6,0.208,22.94185009
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Cynopterus,brachyotis,36.5,37.4,0.265,18.98062445
Euarchontoglires,Rodentia,Spalacidae,*,Steatomys,pratensis,34.1,37.54,0.105,22.33778807
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Alticola,argentatus,*,37.7,0.675,0.818590569
Euarchontoglires,Rodentia,Heteromyidae,*,Dipodomys,nitratoides,*,37.8,0.257,14.30468817
Euarchontoglires,Rodentia,Gliridae,Dormice,Graphiurus,murinus,*,38.43,0.225,21.2175507
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillurus,vallinus,37.4,38.8,0.194,17.98049512
Euarchontoglires,Soricomorpha,Soricidae,Shrews,Crocidura,olivieri,35.3,38.9,0.326,23.40156235
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,pennsylvanicus,38.5,38.9,0.419,0.060434984
Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Macroscelides,proboscideus,36.2,39,0.292,15.17136113
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias,alpinus,*,39,0.322,3.830084921
Euarchontoglires,Rodentia,Heteromyidae,*,Chaetodipus,hispidus,36.8,39.5,0.276,14.80094963
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Rhabdomys,pumilio,37,39.6,0.179,18.78662932
Euarchontoglires,Rodentia,Cricetidae,*,Mesocricetus,brandti,36.2,40.2,0.413866667,8.643914498
Euarchontoglires,Rodentia,Cricetidae,*,Lasiopodomys,brandtii,*,40.2,0.428,-1.778990897
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Apodemus,mystacinus,35.5,40.4,0.312,9.034231087
Laurasiatheria,Chiroptera,Pteropodidae,Old-world Fruit Bats,Nyctimene,cyclotis,36,40.4,0.36,17.83107685
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Mastomys,natalensis,38,41.49,0.183,20.25764302
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Acomys,cahirinus,37.5,42,0.258,23.28152161
Euarchontoglires,Rodentia,Cricetidae,*,Abrothrix,longipilis,37.4,42.3,0.321,*
Marsupialia,Dasyuromorpha,Dasyuridae,Dasyurids,Pseudantechinus,macdonnellensis,34.2,43.1,0.152,23.15220645
Euarchontoglires,Rodentia,Heteromyidae,*,Liomys,salvani,37,43.8,0.262,18.87374537
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,guentheri,38.3,43.8,0.447,10.26478956
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Microgale,talazaci,31.2,44,0.243,18.90024657
Afrotheria,Afrosoricida,Chrysochloridae,Golden Moles,Chrysochloris,asiatica,34,44,0.287,14.70320501
Euarchontoglires,Rodentia,Cricetidae,*,Microtus,californicus,38.8,44,0.38,10.09199544
Marsupialia,Diprontodontia,Burramyidae,Pygmy Possums,Burramys,parvus,36.1,44.3,0.205,9.874778651
Afrotheria,Afrosoricida,Tenrecidae,Tenrecs,Microgale,dobsoni,30.9,44.6,0.315,18.93186755
Laurasiatheria,Chiroptera,Phyllostomidae,American Leaf-nosed Bats,Artibeus,jamaicensis,36.4,45.2,0.428,22.36650092
Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus,brachyrhynchus,37.5,45.3,0.244,21.29356686
Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus,rozeti,37.1,45.31,0.267,15.64215634
Euarchontoglires,Rodentia,Sciuridae,Squirrels,Tamias,minimus,37,45.8,0.406,0.730347839
Euarchontoglires,Rodentia,Muridae,"Mice, Rats, Voles & Gerbils",Gerbillurus,setzeri,37.6,46.1,0.206,11.1823357
Afrotheria,Macroscelidea,Macroscelididae,Elephant-shrews,Elephantulus,intufi,37.2,46.49,0.29,19.12448341
